住所,アクセス,店名,料理
福井県福井市文京4-2-8 ,えちぜん鉄道三国芦原線福大前西福井駅出口より徒歩約3分/福井鉄道田原町(福井)駅出口より徒歩約12分,イタリアンバルクオーレ×ローストビーフ専門店 肉宗,ローストビーフ
福井県福井市大手2-5-5　辻ビル1F,福井鉄道福井駅駅出口より徒歩約3分/ＪＲ福井駅西口より徒歩約3分,寿司・地酒　はやし,寿司
福井県福井市二の宮３丁目36-27,えちぜん鉄道三国芦原線八ツ島駅出口より徒歩約20分,玄白,うなぎ
福井県福井市順化1-16-8,JR福井駅より徒歩10分。,御料理　味真乃　,魚
福井県敦賀市白銀町5-22-1F,敦賀駅から北西へ直進200m左側、徒歩すぐです。,鉄板焼居酒屋　笑兵衛,居酒屋
福井県敦賀市中央町1-1-28,敦賀駅より車で5分。昭和町の交差点を斜め前方右方向です。,四季肴　波月,居酒屋
福井県坂井市三国町山岸39-50-9,えちぜん鉄道三国駅よりお車で10分JR芦原温泉駅よりお車で25分,あさ川,居酒屋
福井県三方郡美浜町松原36-1-1,JR美浜駅から徒歩3分,あなぐらももんじ,地魚
福井県越前市押田１-4-38 ,武生駅からタクシーで5分,四季うら家,肉
福井県鯖江市日の出町4-1,,惣,居酒屋
